,Disease.ID,Disorder.name,Gene.symbols,OMIM.ID,Chromosome,Class,Final.Search,description
1,1,"""17,20-lyase deficiency, isolated, 202110 (3)""","""CYP17A1, CYP17, P450C17""",609300,10q24.3,Endocrine,"17,20-lyase deficiency",
2,1,"""17-alpha-hydroxylase/17,20-lyase deficiency, 202110 (3)""","""CYP17A1, CYP17, P450C17""",609300,10q24.3,Endocrine,"17-alpha-hydroxylase/17,20-lyase deficiency", 
3,3,"""2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency, 300438 (3)""","""HADH2, ERAB""",300256,Xp11.2,Metabolic,2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency, 
4,4,2-methylbutyrylglycinuria (3),ACADSB,600301,10q25-q26,Metabolic,2-methylbutyrylglycinuria, 
5,5,"""3-beta-hydroxysteroid dehydrogenase, type II, deficiency (3)""",HSD3B2,201810,1p13.1,Metabolic,3-beta-hydroxysteroid dehydrogenase,
6,6,"""3-hydroxyacyl-CoA dehydrogenase deficiency, 609609 (3)""","""HADHSC, SCHAD""",601609,4q22-q26,Metabolic,3-hydroxyacyl-CoA dehydrogenase deficiency, 
7,7,"""3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3)""","""MCCC1, MCCA""",609010,3q25-q27,Metabolic,3-Methylcrotonyl-CoA carboxylase 1 deficiency, 
8,7,"""3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3)""","""MCCC2, MCCB""",609014,5q12-q13,Metabolic,3-Methylcrotonyl-CoA carboxylase 2 deficiency, 
9,8,"""3-methylglutaconic aciduria, type I, 250950 (3)""",AUH,600529,Chr.9,Metabolic,3-methylglutaconic aciduria,"This is a redirect from a title with another method of capitalisation. It leads to the title in accordance with the Wikipedia naming conventions for capitalisation, or it leads to a title that is associated in some way with the conventional capitalisation of this redirect title. This may help writing, searching and international language issues. For more information follow the bold category link.
If this redirect is an incorrect capitalisation, then {{R from miscapitalisation}} should be used instead, and pages that use this link should be updated to link directly to the target.
Use this rcat to tag only mainspace redirects; when other capitalisations are in other namespaces, use {{R from modification}} instead."
10,9,"""3-methylglutaconicaciduria, type III, 258501 (3)""","""OPA3, MGA3""",606580,19q13.2-q13.3,Metabolic,3-methylglutaconicaciduria, 
11,10,"""3-M syndrome, 273750 (3)""",CUL7,609577,6p21.1,multiple,3-M syndrome,"3-M syndrome (alternative names: dolichospondylic dysplasia, gloomy face syndrome and le Merrer syndrome) is a rare hereditary growth retardation syndrome. The name 3-M originates from the initials of the three authors Miller, McKusick and Malvaux who first reported the syndrome in literature. Major symptoms of 3M syndrome are dwarfism, facial dysmorphia and skeletal abnormalities. No signs of mental retardation are reported. 3-M syndrome is thought to be inherited as an autosomal recessive genetic trait."
12,12,6-mercaptopurine sensitivity (3),TPMT,187680,6p22.3,Metabolic,6-mercaptopurine sensitivity, 
13,13,Aarskog-Scott syndrome (3),"""FGD1, FGDY, AAS""",305400,Xp11.21,multiple,Aarskog-Scott syndrome,"This is a redirect from a modification of the target's title; for example, its words are rearranged, or punctuation in the name is changed. In cases of modification from distinctly longer or shorter names, please use {{R from long name}} or {{R from short name}}, respectively. For more information follow the bold category link.
Use this rcat instead of {{R from other capitalisation}} and {{R from plural}} in namespaces other than mainspace for those types of modification."
14,14,"""Abacavir hypersensitivity, susceptibility to (3)""",HLA-B,142830,6p21.3,Immunological,Abacavir hypersensitivity, 
