Disease ID,Disorder name,Gene symbols,OMIM ID,Chromosome,Class,Prevalence
752,"Hypertension, diastolic, resistance to, 608622 (3)",KCNMB1,603951,5q34,Cardiovascular,0.3367261
915,"Low renin hypertension, susceptibility to (3)",CYP11B2,124080,8q21,Cardiovascular,0.3367261
365,"Coronary artery disease in familial hypercholesterolemia, protection against, 143890 (3)","ABCA1, ABC1, HDLDT1, TGD",600046,9q22-q31,Cardiovascular,0.2463944
360,"COPD, rate of decline of lung function in, 606963 (3)","MMP1, CLG",120353,11q22-q23,Respiratory,0.1471266
587,"Gitelman syndrome, 263800 (3)","SLC12A3, NCCT, TSC",600968,16q13,Renal,0.1137941
110,"Anemia, Diamond-Blackfan, 105650 (3)","RPS19, DBA",603474,19q13.2,Hematological,0.08403286
824,"Iron deficiency anemia, susceptibility to (3)",TF,190000,3q21,Hematological,0.08403286
724,"Hypercholesterolemia, due to ligand-defective apo B, 144010 (3)","APOB, FLDB",107730,2p24,Metabolic,0.05414856
787,"Hypothyroidism, autoimmune, 140300 (3)",CTLA4,123890,2q33,Endocrine,0.05146852
3512,"Total iodide organification defect, 274500 (3)","TPO, TPX",606765,2p25,Endocrine,0.05146852
2365,"Coronary spasms, susceptibility to (3)",NOS3,163729,7q36,Cardiovascular,0.05139175
27,"Achondrogenesis Ib, 600972 (3)","SLC26A2, DTD, DTDST, D5S1708, EDM4",606718,5q32-q33.1,Bone,0.04580345
1163,Osteoporosis (3),"CALCA, CALC1",114130,11p15.2-p15.1,Bone,0.04580345
1272,Prostate cancer (3),"AR, DHTR, TFM, SBMA, KD, SMAX1",313700,Xq11-q12,Cancer,0.03052308
475,Emphysema (3),"PI, AAT",107400,14q32.1,Respiratory,0.02737215
1126,"Obesity, adrenal insufficiency, and red hair (3)",POMC,176830,2p23.3,Nutritional,0.02440207
153,"Asthma, 600807 (3)","PHF11, NYREN34",607796,13q14.1,Respiratory,0.02211194
1544,"Unipolar depression, susceptibility to, 608516 (3)","TPH2, NTPH",607478,12q21.1,Psychiatric,0.02090065
163,"Atherosclerosis, susceptibility to (3)",ALOX5,152390,10q11.2,Cardiovascular,0.02042585
640,"HARP syndrome, 607236 (3)","PANK2, NBIA1, PKAN, HARP",606157,20p13-p12.3,Metabolic,0.01844104
346,Colon adenocarcinoma (3),RAD54B,604289,8q21.3-q22,Cancer,0.01665049
346,Colon adenocarcinoma (3),"RAD54L, HR54, HRAD54",603615,1p32,Cancer,0.01665049
1324,"Rheumatoid arthritis, progression of, 180300 (3)","IL10, CSIF",124092,1q31-q32,Connective tissue disorder,0.01474758
